[23, 18.33232802770991, 1, 25.0, -22.5, 1]
[28, 18.33232802770991, 1, 25.0, 27.5, 1]
[156, 21.246984764265193, 1, 155.0, 7.5, 1]
[253, 21.24981186879, 1, 255.0, -22.5, 1]
[254, 21.24981186879, 1, 255.0, -12.5, 1]
[255, 21.24981186879, 1, 255.0, -2.5, 1]
[263, 20.635263507963938, 1, 265.0, -22.5, 1]
[286, 25.238182234746986, 1, 285.0, 7.5, 1]
[287, 25.238182234746986, 1, 285.0, 17.5, 1]
[295, 29.447326886511036, 1, 295.0, -2.5, 1]
[305, 33.61537106327156, 1, 305.0, -2.5, 1]
[312, 36.6511775954147, 1, 315.0, -32.5, 1]
[315, 36.6511775954147, 1, 315.0, -2.5, 1]
[324, 37.72501155183859, 1, 325.0, -12.5, 1]
[343, 33.203674333282216, 1, 345.0, -22.5, 1]
[344, 33.203674333282216, 1, 345.0, -12.5, 1]
